,neuron_id,neuron_type,RF_area,RF_center
505,505,e5Rbp4,400.0,[3.5  4.25]
506,506,e5Rbp4,300.0,[4.83333333 4.83333333]
507,507,e5Rbp4,200.0,[4.5 3. ]
508,508,e5Rbp4,300.0,[12.16666667  6.83333333]
509,509,e5Rbp4,300.0,[12.16666667  0.83333333]
510,510,e5Rbp4,400.0,[5. 6.]
511,511,e5Rbp4,1100.0,[11.13636364  5.59090909]
512,512,e5Rbp4,400.0,[3. 6.]
513,513,e5Rbp4,400.0,[6. 4.]
514,514,e5Rbp4,200.0,[6.  3.5]
515,515,e5Rbp4,400.0,[4. 6.]
